(y, x, P(y))
355.0, 2100.4166666294905, -5.453313440129948 E12
356.0, 2106.3333333008713, -5.709582807871133 E12
357.0, 2112.249999971682, -5.977293705707387 E12
358.0, 2118.166666641988, -6.256930240216803 E12
359.0, 2124.0833333118476, -6.548995876305715 E12
360.0, 2129.9999999813135, -6.854014166544169 E12
361.0, 2135.9166666504307, -7.172529506301194 E12
362.0, 2141.833333319242, -7.505107915533885 E12
363.0, 2147.7499999877823, -7.852337848109496 E12
364.0, 2153.666666656085, -8.214831029568282 E12
365.0, 2159.5833333241785, -8.593223324261218 E12
366.0, 2165.4999999920888, -8.988175632826236 E12
367.0, 2171.4166666598376, -9.400374820995605 E12
368.0, 2177.333333327445, -9.830534680757625 E12
369.0, 2183.2499999949287, -1.0279396924926717 E13
370.0, 2189.166666662304, -1.074773221620779 E13
371.0, 2195.083333329585, -1.1236341231874246 E13
372.0, 2200.999999996783, -1.174605576521206 E13
373.0, 2206.9166666639094, -1.2277739864917812 E13
374.0, 2212.8333333309733, -1.2832291013673414 E13
375.0, 2218.749999997982, -1.3410641347157836 E13
376.0, 2224.666666664944, -1.4013758914794174 E13
377.0, 2230.583333331864, -1.4642648983566324 E13
378.0, 2236.499999998749, -1.5298355386284844 E13
379.0, 2242.4166666656024, -1.5981961915716146 E13
380.0, 2248.3333333324294, -1.6694593766036684 E13
381.0, 2254.2499999992338, -1.7437419023113121 E13
382.0, 2260.1666666660176, -1.8211650205156508 E13
383.0, 2266.0833333327846, -1.9018545855343137 E13
384.0, 2271.9999999995366, -1.985941218804067 E13
385.0, 2277.916666666276, -2.073560479032864 E13
386.0, 2283.8333333330042, -2.1648530380549254 E13
387.0, 2289.7499999997235, -2.259964862567763 E13
388.0, 2295.6666666664346, -2.3590474019350984 E13
389.0, 2301.583333333139, -2.4622577822451 E13
390.0, 2307.499999999837, -2.5697590068188086 E13
391.0, 2313.416666666531, -2.681720163369358 E13
392.0, 2319.3333333332203, -2.798316638018223 E13
393.0, 2325.249999999906, -2.919730336380975 E13
394.0, 2331.1666666665883, -3.046149911940879 E13
